 CuHO2,  8,  31, 0.5, 2.23
CuLiO2,  0,   2, 0.5, 17.9
 CuFO2,  0,   4, 0.8, 11.8
CuNaO2,  0,  63, 0.4, 3.04
CuMgO2, 43,  67, 0.0,  0.0
CuAlO2,  0, 166, 1.8, 2.66
CuClO2,  0,   1, 0.8, 48.9
 CuKO2,  0,  63, 0.8, 13.7
CuCaO2,  3, 123, 0.0,  0.0
CuScO2,  0, 194, 2.4, 4.50
 CuVO2, 11,  12, 1.0, 3.42
CuCrO2,  0, 166, 1.6, 5.52
CuMnO2,  0,  12, 0.1, 0.06
CuFeO2,  1, 166, 0.9, 2.02
CuCoO2,  0, 166, 1.1, 5.63
CuGaO2,  0, 166, 0.8, 2.23
CuBrO2,  0,   1, 0.9, 9.67
CuRbO2,  0,  63, 0.8, 8.98
CuSrO2,  0,  63, 0.0,  0.0
 CuYO2,  0, 194, 2.6, 4.01
CuRhO2,  0, 166, 0.7, 2.75
CuPdO2,  0,  53, 0.0,  0.0
CuAgO2,  0,  47, 0.0,  0.0
CuInO2,  7, 166, 0.3, 0.57
CuCsO2,  0,  63, 0.9, 5.24
CuBaO2,  0,  63, 0.0,  0.0
CuLaO2,  2, 166, 2.7, 4.03
CuYbO2,  0, 123, 0.0,  0.0
CuPtO2,  6,  53, 0.0,  0.0
CuAuO2,  0,  12, 0.0,  0.0
CuHgO2, 43,  12, 0.0,  0.0
CuTlO2, 31,  11, 0.4, 2.36
CuPbO2, 43,  74, 0.0,  0.0
CuBiO2,  8,  11, 1.0, 2.29
 AgHO2,  0,   8, 0.0,  0.0
AgLiO2,  0,  53, 0.5, 1.85
AgBO2 , 33,   9, 1.4, 1.61
 AgNO2, 37,   5, 1.4, 2.57
 AgFO2,  0,   4, 0.6, 7.61
AgNaO2,  0,  12, 0.6, 4.79
AgAlO2,  0, 166, 1.4, 1.49
AgClO2,  0,   1, 0.6, 2902
 AgKO2,  0,  63, 0.9, 5.80
AgCaO2,  0,  12, 0.0,  0.0
AgScO2,  0, 194, 2.1, 2.58
AgCrO2,  0, 166, 1.7, 2.48
AgMnO2,  0,  12, 0.4, 1.33
AgFeO2,  0, 166, 1.1, 0.90
AgCoO2,  0, 194, 1.2, 3.68
AgNiO2, 20, 166, 0.0,  0.0
AgGaO2,  0, 166, 0.6, 1.09
AgAsO2, 38,   5, 2.4, 3.25
AgBrO2,  0,   1, 0.7,  450
AgRbO2,  0,  63, 1.0, 8.80
AgSrO2,  0,  12, 0.6, 1.27
 AgYO2,  0, 194, 2.4, 3.82
AgRhO2, 38, 166, 0.5, 2.14
AgPdO2,  0,  10, 0.1, 0.03
AgCdO2, 23,  12, 0.0,  0.0
AgInO2,  0, 166, 0.2, 0.43
AgCsO2,  0,  63, 1.1, 4.54
AgBaO2,  0, 123, 0.0,  0.0
AgLaO2,  0, 194, 2.8, 3.85
AgPtO2, 19,  10, 0.3, 3.30
AgAuO2,  0,  14, 0.6, 1.80  
AgHgO2, 27,   2, 0.0,  0.0  
AgTlO2,  0, 166, 0.0,  0.0
AgPbO2, 34,  12, 0.3, 0.03
AgBiO2,  3,  11, 1.4, 2.38
 AuHO2, 12,   2, 0.7, 1.68
AuLiO2,  0,  53, 1.1, 3.78
 AuFO2,  0,   4, 1.1, 3.97
AuNaO2,  0,  12, 1.1, 7.72
AuMgO2, 37,  65, 0.0,  0.0
AuAlO2, 12, 166, 0.6, 0.71
AuClO2,  0,  15, 0.3, 0.96
 AuKO2,  0,  63, 1.4, 9.20
AuScO2, 14, 166, 1.8, 0.63
AuCrO2,  0, 166, 1.2, 1.65
AuMnO2,  0,  12, 0.0,  0.0
AuFeO2,  0, 166, 0.6, 0.59
AuCoO2,  0, 194, 0.5, 1.03
AuNiO2,  0, 194, 0.0,  0.0
AuGaO2,  6, 166, 0.0,  0.0
AuBrO2,  0,  15, 0.0,  0.0
AuRbO2,  0,  63, 1.4, 8.45
AuSrO2, 33,  12, 1.3, 1.80
 AuYO2,  3, 194, 2.7, 2.49
AuPdO2,  2,  12, 0.0,  0.0
AuCdO2,  0,   2, 0.9, 1.76
AuInO2, 18, 166, 0.0,  0.0
AuCsO2,  0,  63, 1.5, 6.59
AuBaO2, 31,  12, 1.2, 1.44
AuLaO2, 21, 194, 2.7, 4.45
AuTlO2, 13, 166, 0.0,  0.0
AuPbO2, 15,   2, 0.4, 1.14
AuBiO2, 40,  11, 1.3, 1.54
